movie_id,title,genres,movie_idx,genres_clean
49,When Night Is Falling (1995),Drama|Romance,46,Drama Romance
50,"Usual Suspects, The (1995)",Crime|Thriller,47,Crime Thriller
52,Mighty Aphrodite (1995),Comedy,48,Comedy
54,"Big Green, The (1995)",Children's|Comedy,49,Children's Comedy
55,Georgia (1995),Drama,50,Drama
57,Home for the Holidays (1995),Drama,51,Drama
58,"Postino, Il (The Postman) (1994)",Drama|Romance,52,Drama Romance
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,53,Adventure Children's Fantasy
61,Eye for an Eye (1996),Drama|Thriller,54,Drama Thriller
62,Mr. Holland's Opus (1995),Drama,55,Drama
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,56,Comedy
64,Two if by Sea (1996),Comedy|Romance,57,Comedy Romance
65,Bio-Dome (1996),Comedy,58,Comedy
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,59,Sci-Fi Thriller
68,French Twist (Gazon maudit) (1995),Comedy|Romance,60,Comedy Romance
69,Friday (1995),Comedy,61,Comedy
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,62,Action Comedy Crime Horror Thriller
71,Fair Game (1995),Action,63,Action
72,Kicking and Screaming (1995),Comedy|Drama,64,Comedy Drama
73,"Misérables, Les (1995)",Drama|Musical,65,Drama Musical
74,Bed of Roses (1996),Drama|Romance,66,Drama Romance
75,Big Bully (1996),Comedy|Drama,67,Comedy Drama
76,Screamers (1995),Sci-Fi|Thriller,68,Sci-Fi Thriller
77,Nico Icon (1995),Documentary,69,Documentary
78,"Crossing Guard, The (1995)",Drama,70,Drama
79,"Juror, The (1996)",Drama|Thriller,71,Drama Thriller
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,72,Drama
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,73,Crime Drama Romance
82,Antonia's Line (Antonia) (1995),Drama,74,Drama
83,Once Upon a Time... When We Were Colored (1995),Drama,75,Drama
84,Last Summer in the Hamptons (1995),Comedy|Drama,76,Comedy Drama
85,Angels and Insects (1995),Drama|Romance,77,Drama Romance
86,White Squall (1996),Adventure|Drama,78,Adventure Drama
87,Dunston Checks In (1996),Children's|Comedy,79,Children's Comedy
88,Black Sheep (1996),Comedy,80,Comedy
89,Nick of Time (1995),Action|Thriller,81,Action Thriller
92,Mary Reilly (1996),Drama|Thriller,82,Drama Thriller
93,Vampire in Brooklyn (1995),Comedy|Romance,83,Comedy Romance
94,Beautiful Girls (1996),Drama,84,Drama
95,Broken Arrow (1996),Action|Thriller,85,Action Thriller
96,In the Bleak Midwinter (1995),Comedy,86,Comedy
97,"Hate (Haine, La) (1995)",Drama,87,Drama
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,88,Documentary
100,City Hall (1996),Drama|Thriller,89,Drama Thriller
101,Bottle Rocket (1996),Comedy,90,Comedy
102,Mr. Wrong (1996),Comedy,91,Comedy
103,Unforgettable (1996),Thriller,92,Thriller
104,Happy Gilmore (1996),Comedy,93,Comedy
105,"Bridges of Madison County, The (1995)",Drama|Romance,94,Drama Romance
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,95,Comedy Drama
107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,96,Adventure Children's Comedy Musical
110,Braveheart (1995),Action|Drama|War,97,Action Drama War
111,Taxi Driver (1976),Drama|Thriller,98,Drama Thriller
112,Rumble in the Bronx (1995),Action|Adventure|Crime,99,Action Adventure Crime
113,Before and After (1996),Drama|Mystery,100,Drama Mystery
114,Margaret's Museum (1995),Drama,101,Drama
116,Anne Frank Remembered (1995),Documentary,102,Documentary
117,"Young Poisoner's Handbook, The (1995)",Crime,103,Crime
118,If Lucy Fell (1996),Comedy|Romance,104,Comedy Romance
119,"Steal Big, Steal Little (1995)",Comedy,105,Comedy
121,"Boys of St. Vincent, The (1993)",Drama,106,Drama
122,Boomerang (1992),Comedy|Romance,107,Comedy Romance
123,Chungking Express (1994),Drama|Mystery|Romance,108,Drama Mystery Romance
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,109,Drama
125,Flirting With Disaster (1996),Comedy,110,Comedy
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,111,Adventure Children's Fantasy
128,Jupiter's Wife (1994),Documentary,112,Documentary
129,Pie in the Sky (1995),Comedy|Romance,113,Comedy Romance
131,Frankie Starlight (1995),Drama|Romance,114,Drama Romance
132,Jade (1995),Thriller,115,Thriller
135,Down Periscope (1996),Comedy,116,Comedy
137,Man of the Year (1995),Documentary,117,Documentary
140,Up Close and Personal (1996),Drama|Romance,118,Drama Romance
141,"Birdcage, The (1996)",Comedy,119,Comedy
144,"Brothers McMullen, The (1995)",Comedy,120,Comedy
145,Bad Boys (1995),Action,121,Action
146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,122,Adventure Children's
147,"Basketball Diaries, The (1995)",Drama,123,Drama
148,"Awfully Big Adventure, An (1995)",Drama,124,Drama
149,Amateur (1994),Crime|Drama|Thriller,125,Crime Drama Thriller
150,Apollo 13 (1995),Drama,126,Drama
151,Rob Roy (1995),Drama|Romance|War,127,Drama Romance War
152,"Addiction, The (1995)",Horror,128,Horror
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,129,Action Adventure Comedy Crime
154,Belle de jour (1967),Drama,130,Drama
155,Beyond Rangoon (1995),Drama|War,131,Drama War
156,Blue in the Face (1995),Comedy,132,Comedy
157,Canadian Bacon (1994),Comedy|War,133,Comedy War
158,Casper (1995),Adventure|Children's,134,Adventure Children's
159,Clockers (1995),Drama,135,Drama
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,136,Action Adventure Mystery Sci-Fi
161,Crimson Tide (1995),Drama|Thriller|War,137,Drama Thriller War
162,Crumb (1994),Documentary,138,Documentary
163,Desperado (1995),Action|Romance|Thriller,139,Action Romance Thriller
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,140,Crime Film-Noir Mystery Thriller
165,Die Hard: With a Vengeance (1995),Action|Thriller,141,Action Thriller
166,"Doom Generation, The (1995)",Comedy|Drama,142,Comedy Drama
168,First Knight (1995),Action|Adventure|Drama|Romance,143,Action Adventure Drama Romance
169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,144,Adventure Children's Drama
170,Hackers (1995),Action|Crime|Thriller,145,Action Crime Thriller
171,Jeffrey (1995),Comedy,146,Comedy
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,147,Action Sci-Fi Thriller
173,Judge Dredd (1995),Action|Adventure|Sci-Fi,148,Action Adventure Sci-Fi
174,Jury Duty (1995),Comedy,149,Comedy
175,Kids (1995),Drama,150,Drama
176,Living in Oblivion (1995),Comedy,151,Comedy
177,Lord of Illusions (1995),Horror,152,Horror
178,Love & Human Remains (1993),Comedy,153,Comedy
179,Mad Love (1995),Drama|Romance,154,Drama Romance
180,Mallrats (1995),Comedy,155,Comedy
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,156,Action Children's
182,Moonlight and Valentino (1995),Drama|Romance,157,Drama Romance
183,Mute Witness (1994),Thriller,158,Thriller
184,Nadja (1994),Drama,159,Drama
185,"Net, The (1995)",Sci-Fi|Thriller,160,Sci-Fi Thriller
186,Nine Months (1995),Comedy,161,Comedy
187,Party Girl (1995),Comedy,162,Comedy
188,"Prophecy, The (1995)",Horror,163,Horror
189,Reckless (1995),Comedy,164,Comedy
190,Safe (1995),Thriller,165,Thriller
191,"Scarlet Letter, The (1995)",Drama,166,Drama
193,Showgirls (1995),Drama,167,Drama
194,Smoke (1995),Drama,168,Drama
195,Something to Talk About (1995),Comedy|Drama|Romance,169,Comedy Drama Romance
196,Species (1995),Horror|Sci-Fi,170,Horror Sci-Fi
197,"Stars Fell on Henrietta, The (1995)",Drama,171,Drama
198,Strange Days (1995),Action|Crime|Sci-Fi,172,Action Crime Sci-Fi
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,173,Drama Musical
200,"Tie That Binds, The (1995)",Thriller,174,Thriller
201,Three Wishes (1995),Drama,175,Drama
202,Total Eclipse (1995),Drama|Romance,176,Drama Romance
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,177,Comedy
204,Under Siege 2: Dark Territory (1995),Action,178,Action
205,Unstrung Heroes (1995),Comedy|Drama,179,Comedy Drama
206,Unzipped (1995),Documentary,180,Documentary
207,"Walk in the Clouds, A (1995)",Drama|Romance,181,Drama Romance
208,Waterworld (1995),Action|Adventure,182,Action Adventure
209,White Man's Burden (1995),Drama,183,Drama
210,Wild Bill (1995),Western,184,Western
211,"Browning Version, The (1994)",Drama,185,Drama
212,Bushwhacked (1995),Comedy,186,Comedy
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,187,Drama
214,Before the Rain (Pred dozhdot) (1994),Drama,188,Drama
215,Before Sunrise (1995),Drama|Romance,189,Drama Romance
216,Billy Madison (1995),Comedy,190,Comedy
217,"Babysitter, The (1995)",Drama|Thriller,191,Drama Thriller
218,Boys on the Side (1995),Comedy|Drama,192,Comedy Drama
219,"Cure, The (1995)",Drama,193,Drama
220,Castle Freak (1995),Horror,194,Horror
222,Circle of Friends (1995),Drama|Romance,195,Drama Romance
223,Clerks (1994),Comedy,196,Comedy
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,197,Comedy Drama Romance
225,Disclosure (1994),Drama|Thriller,198,Drama Thriller
227,Drop Zone (1994),Action,199,Action
228,Destiny Turns on the Radio (1995),Comedy,200,Comedy
229,Death and the Maiden (1994),Drama|Thriller,201,Drama Thriller
230,Dolores Claiborne (1994),Drama|Thriller,202,Drama Thriller
231,Dumb & Dumber (1994),Comedy,203,Comedy
232,Eat Drink Man Woman (1994),Comedy|Drama,204,Comedy Drama
233,Exotica (1994),Drama,205,Drama
234,Exit to Eden (1994),Comedy,206,Comedy
235,Ed Wood (1994),Comedy|Drama,207,Comedy Drama
236,French Kiss (1995),Comedy|Romance,208,Comedy Romance
237,Forget Paris (1995),Comedy|Romance,209,Comedy Romance
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's,210,Adventure Children's
239,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance,211,Animation Children's Comedy Romance
240,Hideaway (1995),Thriller,212,Thriller
241,Fluke (1995),Children's|Drama,213,Children's Drama
242,Farinelli: il castrato (1994),Drama|Musical,214,Drama Musical
243,Gordy (1995),Comedy,215,Comedy
244,Gumby: The Movie (1995),Animation|Children's,216,Animation Children's
245,"Glass Shield, The (1994)",Crime|Drama,217,Crime Drama
246,Hoop Dreams (1994),Documentary,218,Documentary
247,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller,219,Drama Fantasy Romance Thriller
248,Houseguest (1994),Comedy,220,Comedy
249,Immortal Beloved (1994),Drama|Romance,221,Drama Romance
250,Heavyweights (1994),Children's|Comedy,222,Children's Comedy
251,"Hunted, The (1995)",Action,223,Action
252,I.Q. (1994),Comedy|Romance,224,Comedy Romance
253,Interview with the Vampire (1994),Drama|Horror,225,Drama Horror
254,Jefferson in Paris (1995),Drama,226,Drama
255,"Jerky Boys, The (1994)",Comedy,227,Comedy
256,Junior (1994),Comedy|Sci-Fi,228,Comedy Sci-Fi
257,Just Cause (1995),Mystery|Thriller,229,Mystery Thriller
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance,230,Adventure Children's Comedy Fantasy Romance
259,Kiss of Death (1995),Crime|Drama|Thriller,231,Crime Drama Thriller
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,232,Action Adventure Fantasy Sci-Fi
261,Little Women (1994),Drama,233,Drama
262,"Little Princess, A (1995)",Children's|Drama,234,Children's Drama
263,Ladybird Ladybird (1994),Drama,235,Drama
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance,236,Drama Romance
266,Legends of the Fall (1994),Drama|Romance|War|Western,237,Drama Romance War Western
267,Major Payne (1994),Comedy,238,Comedy
268,Little Odessa (1994),Drama,239,Drama
269,My Crazy Life (Mi vida loca) (1993),Drama,240,Drama
270,Love Affair (1994),Drama|Romance,241,Drama Romance
271,Losing Isaiah (1995),Drama,242,Drama
272,"Madness of King George, The (1994)",Drama,243,Drama
273,Mary Shelley's Frankenstein (1994),Drama|Horror,244,Drama Horror
274,Man of the House (1995),Comedy,245,Comedy
275,Mixed Nuts (1994),Comedy,246,Comedy
276,Milk Money (1994),Comedy|Romance,247,Comedy Romance
277,Miracle on 34th Street (1994),Drama,248,Drama
278,Miami Rhapsody (1995),Comedy,249,Comedy
279,My Family (1995),Drama,250,Drama
280,Murder in the First (1995),Drama|Thriller,251,Drama Thriller
281,Nobody's Fool (1994),Drama,252,Drama
282,Nell (1994),Drama,253,Drama
283,New Jersey Drive (1995),Crime|Drama,254,Crime Drama
287,Nina Takes a Lover (1994),Comedy|Romance,255,Comedy Romance
288,Natural Born Killers (1994),Action|Thriller,256,Action Thriller
289,Only You (1994),Comedy|Romance,257,Comedy Romance
290,Once Were Warriors (1994),Crime|Drama,258,Crime Drama
291,Poison Ivy II (1995),Thriller,259,Thriller
292,Outbreak (1995),Action|Drama|Thriller,260,Action Drama Thriller
293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller,261,Crime Drama Romance Thriller
294,"Perez Family, The (1995)",Comedy|Romance,262,Comedy Romance
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,263,Comedy Romance
296,Pulp Fiction (1994),Crime|Drama,264,Crime Drama
297,Panther (1995),Drama,265,Drama
298,Pushing Hands (1992),Comedy,266,Comedy
299,Priest (1994),Drama,267,Drama
300,Quiz Show (1994),Drama,268,Drama
301,Picture Bride (1995),Drama|Romance,269,Drama Romance
302,Queen Margot (La Reine Margot) (1994),Drama|Romance,270,Drama Romance
303,"Quick and the Dead, The (1995)",Action|Adventure|Western,271,Action Adventure Western
304,Roommates (1995),Comedy|Drama,272,Comedy Drama
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,273,Comedy
306,Three Colors: Red (1994),Drama,274,Drama
307,Three Colors: Blue (1993),Drama,275,Drama
308,Three Colors: White (1994),Drama,276,Drama
309,"Red Firecracker, Green Firecracker (1994)",Drama,277,Drama
312,Stuart Saves His Family (1995),Comedy,278,Comedy
313,"Swan Princess, The (1994)",Animation|Children's,279,Animation Children's
314,"Secret of Roan Inish, The (1994)",Drama,280,Drama
315,"Specialist, The (1994)",Action,281,Action
316,Stargate (1994),Action|Adventure|Sci-Fi,282,Action Adventure Sci-Fi
317,"Santa Clause, The (1994)",Children's|Comedy|Fantasy,283,Children's Comedy Fantasy
318,"Shawshank Redemption, The (1994)",Drama,284,Drama
319,Shallow Grave (1994),Thriller,285,Thriller
320,Suture (1993),Film-Noir|Thriller,286,Film-Noir Thriller
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,287,Drama
322,Swimming with Sharks (1995),Comedy|Drama,288,Comedy Drama
324,"Sum of Us, The (1994)",Comedy,289,Comedy
325,National Lampoon's Senior Trip (1995),Comedy,290,Comedy
326,To Live (Huozhe) (1994),Drama,291,Drama
327,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi,292,Action Comedy Musical Sci-Fi
328,Tales From the Crypt Presents: Demon Knight (1995),Horror,293,Horror
329,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,294,Action Adventure Sci-Fi
330,Tales from the Hood (1995),Comedy|Horror,295,Comedy Horror
331,Tom & Viv (1994),Drama,296,Drama
332,Village of the Damned (1995),Horror|Sci-Fi,297,Horror Sci-Fi
333,Tommy Boy (1995),Comedy,298,Comedy
334,Vanya on 42nd Street (1994),Drama,299,Drama
335,"Underneath, The (1995)",Mystery|Thriller,300,Mystery Thriller
336,"Walking Dead, The (1995)",Drama|War,301,Drama War
337,What's Eating Gilbert Grape (1993),Drama,302,Drama
338,Virtuosity (1995),Sci-Fi|Thriller,303,Sci-Fi Thriller
339,While You Were Sleeping (1995),Comedy|Romance,304,Comedy Romance
340,"War, The (1994)",Adventure|Drama,305,Adventure Drama
341,Double Happiness (1994),Drama,306,Drama
342,Muriel's Wedding (1994),Comedy|Romance,307,Comedy Romance
343,"Baby-Sitters Club, The (1995)",Children's,308,Children's
344,Ace Ventura: Pet Detective (1994),Comedy,309,Comedy
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,310,Comedy Drama
346,Backbeat (1993),Drama|Musical,311,Drama Musical
347,Bitter Moon (1992),Drama,312,Drama
348,Bullets Over Broadway (1994),Comedy,313,Comedy
349,Clear and Present Danger (1994),Action|Adventure|Thriller,314,Action Adventure Thriller
350,"Client, The (1994)",Drama|Mystery|Thriller,315,Drama Mystery Thriller
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,316,Comedy Drama Romance
352,Crooklyn (1994),Comedy,317,Comedy
353,"Crow, The (1994)",Action|Romance|Thriller,318,Action Romance Thriller
354,Cobb (1994),Drama,319,Drama
355,"Flintstones, The (1994)",Children's|Comedy,320,Children's Comedy
356,Forrest Gump (1994),Comedy|Romance|War,321,Comedy Romance War
357,Four Weddings and a Funeral (1994),Comedy|Romance,322,Comedy Romance
358,Higher Learning (1995),Drama,323,Drama
359,I Like It Like That (1994),Comedy|Drama|Romance,324,Comedy Drama Romance
360,I Love Trouble (1994),Action|Comedy,325,Action Comedy
361,It Could Happen to You (1994),Drama|Romance,326,Drama Romance
362,"Jungle Book, The (1994)",Adventure|Children's|Romance,327,Adventure Children's Romance
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary,328,Documentary
364,"Lion King, The (1994)",Animation|Children's|Musical,329,Animation Children's Musical
365,Little Buddha (1993),Drama,330,Drama
366,Wes Craven's New Nightmare (1994),Horror,331,Horror
367,"Mask, The (1994)",Comedy|Crime|Fantasy,332,Comedy Crime Fantasy
368,Maverick (1994),Action|Comedy|Western,333,Action Comedy Western
369,Mrs. Parker and the Vicious Circle (1994),Drama,334,Drama
370,Naked Gun 33 1/3: The Final Insult (1994),Comedy,335,Comedy
371,"Paper, The (1994)",Comedy|Drama,336,Comedy Drama
372,Reality Bites (1994),Comedy|Drama,337,Comedy Drama
373,Red Rock West (1992),Thriller,338,Thriller
374,Richie Rich (1994),Children's|Comedy,339,Children's Comedy
375,Safe Passage (1994),Drama,340,Drama
376,"River Wild, The (1994)",Action|Thriller,341,Action Thriller
377,Speed (1994),Action|Romance|Thriller,342,Action Romance Thriller
378,Speechless (1994),Comedy|Romance,343,Comedy Romance
379,Timecop (1994),Action|Sci-Fi,344,Action Sci-Fi
380,True Lies (1994),Action|Adventure|Comedy|Romance,345,Action Adventure Comedy Romance
381,When a Man Loves a Woman (1994),Drama,346,Drama
382,Wolf (1994),Drama|Horror,347,Drama Horror
383,Wyatt Earp (1994),Western,348,Western
384,Bad Company (1995),Action,349,Action
385,"Man of No Importance, A (1994)",Drama,350,Drama
386,S.F.W. (1994),Drama,351,Drama
387,"Low Down Dirty Shame, A (1994)",Action|Comedy,352,Action Comedy
388,Boys Life (1995),Drama,353,Drama
389,"Colonel Chabert, Le (1994)",Drama|Romance|War,354,Drama Romance War
390,Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama,355,Action Comedy Drama
391,Jason's Lyric (1994),Crime|Drama,356,Crime Drama
392,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Children's,357,Adventure Children's
393,Street Fighter (1994),Action,358,Action
394,Coldblooded (1995),Action,359,Action
397,"Fear, The (1995)",Horror,360,Horror
405,Highlander III: The Sorcerer (1994),Action|Sci-Fi,361,Action Sci-Fi
407,In the Mouth of Madness (1995),Horror|Thriller,362,Horror Thriller
408,8 Seconds (1994),Drama,363,Drama
409,Above the Rim (1994),Drama,364,Drama
410,Addams Family Values (1993),Comedy,365,Comedy
411,You So Crazy (1994),Comedy,366,Comedy
412,"Age of Innocence, The (1993)",Drama,367,Drama
413,Airheads (1994),Comedy,368,Comedy
414,"Air Up There, The (1994)",Comedy,369,Comedy
415,Another Stakeout (1993),Comedy|Thriller,370,Comedy Thriller
416,Bad Girls (1994),Western,371,Western
417,Barcelona (1994),Comedy|Romance,372,Comedy Romance
418,Being Human (1993),Drama,373,Drama
419,"Beverly Hillbillies, The (1993)",Comedy,374,Comedy
420,Beverly Hills Cop III (1994),Action|Comedy,375,Action Comedy
421,Black Beauty (1994),Adventure|Children's,376,Adventure Children's
422,Blink (1994),Thriller,377,Thriller
423,Blown Away (1994),Action|Thriller,378,Action Thriller
424,Blue Chips (1994),Drama,379,Drama
425,Blue Sky (1994),Drama|Romance,380,Drama Romance
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,381,Horror Sci-Fi Thriller
427,Boxing Helena (1993),Mystery|Romance|Thriller,382,Mystery Romance Thriller
428,"Bronx Tale, A (1993)",Drama,383,Drama
429,Cabin Boy (1994),Comedy,384,Comedy
430,Calendar Girl (1993),Drama,385,Drama
431,Carlito's Way (1993),Crime|Drama,386,Crime Drama
432,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western,387,Comedy Western
433,Clean Slate (1994),Comedy,388,Comedy
434,Cliffhanger (1993),Action|Adventure|Crime,389,Action Adventure Crime
435,Coneheads (1993),Comedy|Sci-Fi,390,Comedy Sci-Fi
436,Color of Night (1994),Drama|Thriller,391,Drama Thriller
437,Cops and Robbersons (1994),Comedy,392,Comedy
438,"Cowboy Way, The (1994)",Action|Comedy,393,Action Comedy
440,Dave (1993),Comedy|Romance,394,Comedy Romance
441,Dazed and Confused (1993),Comedy,395,Comedy
442,Demolition Man (1993),Action|Sci-Fi,396,Action Sci-Fi
443,"Endless Summer 2, The (1994)",Documentary,397,Documentary
444,Even Cowgirls Get the Blues (1993),Comedy|Romance,398,Comedy Romance
445,Fatal Instinct (1993),Comedy,399,Comedy
446,Farewell My Concubine (1993),Drama|Romance,400,Drama Romance
447,"Favor, The (1994)",Comedy|Romance,401,Comedy Romance
448,Fearless (1993),Drama,402,Drama
449,Fear of a Black Hat (1993),Comedy,403,Comedy
450,With Honors (1994),Comedy|Drama,404,Comedy Drama
451,Flesh and Bone (1993),Drama|Mystery|Romance,405,Drama Mystery Romance
452,Widows' Peak (1994),Drama,406,Drama
453,For Love or Money (1993),Comedy,407,Comedy
454,"Firm, The (1993)",Drama|Thriller,408,Drama Thriller
455,Free Willy (1993),Adventure|Children's|Drama,409,Adventure Children's Drama
456,Fresh (1994),Drama,410,Drama
457,"Fugitive, The (1993)",Action|Thriller,411,Action Thriller
458,Geronimo: An American Legend (1993),Drama|Western,412,Drama Western
459,"Getaway, The (1994)",Action,413,Action
460,Getting Even with Dad (1994),Comedy,414,Comedy
461,Go Fish (1994),Drama|Romance,415,Drama Romance
462,"Good Man in Africa, A (1994)",Action|Adventure,416,Action Adventure
463,Guilty as Sin (1993),Crime|Drama|Thriller,417,Crime Drama Thriller
464,Hard Target (1993),Action|Adventure|Crime|Thriller,418,Action Adventure Crime Thriller
465,Heaven & Earth (1993),Action|Drama|War,419,Action Drama War
466,Hot Shots! Part Deux (1993),Action|Comedy|War,420,Action Comedy War
467,Live Nude Girls (1995),Comedy,421,Comedy
468,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",Comedy|Romance,422,Comedy Romance
469,"House of the Spirits, The (1993)",Drama|Romance,423,Drama Romance
470,House Party 3 (1994),Comedy,424,Comedy
471,"Hudsucker Proxy, The (1994)",Comedy|Romance,425,Comedy Romance
472,I'll Do Anything (1994),Comedy|Drama,426,Comedy Drama
473,In the Army Now (1994),Comedy|War,427,Comedy War
474,In the Line of Fire (1993),Action|Thriller,428,Action Thriller
475,In the Name of the Father (1993),Drama,429,Drama
476,"Inkwell, The (1994)",Comedy|Drama,430,Comedy Drama
477,What's Love Got to Do with It? (1993),Drama,431,Drama
478,Jimmy Hollywood (1994),Comedy,432,Comedy
479,Judgment Night (1993),Action,433,Action
480,Jurassic Park (1993),Action|Adventure|Sci-Fi,434,Action Adventure Sci-Fi
481,Kalifornia (1993),Drama|Thriller,435,Drama Thriller
482,Killing Zoe (1994),Thriller,436,Thriller
483,King of the Hill (1993),Drama,437,Drama
484,Lassie (1994),Adventure|Children's,438,Adventure Children's
485,Last Action Hero (1993),Action|Comedy,439,Action Comedy
486,Life with Mikey (1993),Comedy,440,Comedy
487,Lightning Jack (1994),Comedy|Western,441,Comedy Western
488,M. Butterfly (1993),Drama,442,Drama
489,Made in America (1993),Comedy,443,Comedy
490,Malice (1993),Thriller,444,Thriller
491,"Man Without a Face, The (1993)",Drama,445,Drama
492,Manhattan Murder Mystery (1993),Comedy|Mystery,446,Comedy Mystery
493,Menace II Society (1993),Action|Crime|Drama,447,Action Crime Drama
494,Executive Decision (1996),Action|Thriller,448,Action Thriller
